title,link,description,published,city,state_name_x,county_name,lat,lng,roberta_title,roberta_description,roberta_title_label,roberta_title_score,roberta_desc_label,roberta_desc_score,city_ascii,state_id,state_name_y,county_fips,population,density,military,incorporated,timezone,zips
Trust enters forest sell-off row,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-12314781,"The National Trust promises to ""play its part"" in protecting England's ancient woodlands if a planned sell-off of publicly-owned forests goes ahead.","Sat, 29 Jan 2011 09:17:00 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.6137385964393616)","('neutral', 0.5898904800415039)",neutral,0.6137385964393616,neutral,0.5898904800415039,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Nuclear fusion reactor experiment to produce clean energy,https://www.bbc.co.uk/news/science-environment-59601560?at_medium=RSSat_campaign=KARANGA,An experiment is taking place on an industrial estate just outside Didcot in the south of England.,"Mon, 13 Dec 2021 06:15:41 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.7998523116111755)","('neutral', 0.9327727556228638)",neutral,0.7998523116111755,neutral,0.9327727556228638,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
MPs urge UK ban on chlorinated chicken and hormone-fed beef,https://www.bbc.co.uk/news/science-environment-52638628,Hormone-fed beef and chlorine-washed chicken should remain banned in England. the government is warned.,"Tue, 12 May 2020 23:01:08 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.6801038384437561)","('negative', 0.7959533333778381)",neutral,0.6801038384437561,negative,0.7959533333778381,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
England bad at penalties? Think again - say the Germans,https://www.bbc.co.uk/sport/football/52553088,"New scientific research, from Germany of all places, suggests English footballers are actually good at spot-kicks.","Wed, 06 May 2020 13:02:19 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.7143657207489014)","('positive', 0.5090659260749817)",negative,0.7143657207489014,positive,0.5090659260749817,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Science practical lessons 'too few',http://www.bbc.co.uk/news/education-25015393#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"A lack of practical lessons in schools in England means many teenagers are struggling with science, inspectors from the watchdog Ofsted warn.","Thu, 21 Nov 2013 02:34:48 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.6732468008995056)","('negative', 0.6764194965362549)",neutral,0.6732468008995056,negative,0.6764194965362549,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Warning of 'insufficient' flood cash,http://www.bbc.co.uk/news/uk-politics-29902472#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Spending on flood protection in England is ""insufficient"" to maintain defences, the National Audit Office warns.","Wed, 05 Nov 2014 02:44:59 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.6486761569976807)","('negative', 0.6143033504486084)",negative,0.6486761569976807,negative,0.6143033504486084,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Plan for bee-friendly roads and rail,http://www.bbc.co.uk/news/29847474#sa-ns_mchannel=rssns_source=PublicRSS20-sa,The government has made an agreement with landowners including Network Rail and the Highways Agency to restore bee-friendly habitat throughout England.,"Tue, 04 Nov 2014 01:30:20 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.6264264583587646)","('neutral', 0.6454551815986633)",neutral,0.6264264583587646,neutral,0.6454551815986633,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Ministers bid to stem nature loss,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-13672600,The government publishes proposals aimed at curbing loss of nature across England and strengthening links between people and the wild.,"Tue, 07 Jun 2011 11:06:28 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.7845261096954346)","('neutral', 0.8622826337814331)",neutral,0.7845261096954346,neutral,0.8622826337814331,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Air views 'show orchards neglect',http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-13289383,"Nearly half of England's traditional orchards are in a neglected condition, a study of aerial photographs suggests.","Thu, 05 May 2011 03:24:21 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.5715346932411194)","('negative', 0.6621660590171814)",neutral,0.5715346932411194,negative,0.6621660590171814,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Nature report should be released now - MPs,http://www.bbc.co.uk/news/science-environment-39129601,"The government's long-delayed 25-year plan for improving nature in England should be published immediately, MPs say.","Thu, 02 Mar 2017 00:44:49 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8607577085494995)","('neutral', 0.860605001449585)",neutral,0.8607577085494995,neutral,0.860605001449585,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Cannibals engraved bones of the dead,http://www.bbc.co.uk/news/science-environment-40886748,The prehistoric cannibals of southern England marked up the bones of the people they ate.,"Thu, 10 Aug 2017 09:25:00 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.5902626514434814)","('neutral', 0.5688135623931885)",neutral,0.5902626514434814,neutral,0.5688135623931885,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Quarter of England's rivers at risk,http://news.bbc.co.uk/go/rss/int/news/-/panorama/hi/front_page/newsid_9560000/9560159.stm,Rivers feel the strain of Britain's thirst,"Sun, 18 Sep 2011 23:55:23 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.5677594542503357)","('neutral', 0.5625053644180298)",neutral,0.5677594542503357,neutral,0.5625053644180298,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Plastic straw and cotton bud ban proposed,http://www.bbc.co.uk/news/uk-politics-43817287,Plan for a ban in England is announced as Commonwealth leaders are urged to tackle plastic waste.,"Thu, 19 Apr 2018 13:51:11 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.7480207085609436)","('neutral', 0.8449084162712097)",neutral,0.7480207085609436,neutral,0.8449084162712097,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
All the plastic you can and cannot recycle,https://www.bbc.co.uk/news/science-environment-45496884,"England is recycling more plastic than ever - but for this trend to continue, the system needs to change","Fri, 21 Sep 2018 06:04:55 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.7094658613204956)","('neutral', 0.48950499296188354)",negative,0.7094658613204956,neutral,0.4895049929618835,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
'Extinction threat' to hen harriers,http://www.bbc.co.uk/news/uk-23627737#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Hen harriers are close to extinction in England after the country's only two nesting pairs failed to produce chicks this year, conservationists say.","Fri, 09 Aug 2013 16:14:53 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.6372429728507996)","('negative', 0.8185629844665527)",negative,0.6372429728507996,negative,0.8185629844665527,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Drought still in parts of England,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-england-14958556,"Parts of England are still officially considered to be experiencing a drought, despite the wet summer, the Environment Agency says.","Sat, 17 Sep 2011 11:08:50 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.5490789413452148)","('neutral', 0.7521371245384216)",negative,0.5490789413452148,neutral,0.7521371245384216,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Plastic bag fee 'to double to 10p' and include every shop,https://www.bbc.co.uk/news/uk-46689684,"The government wants to double the charge and extend it to all shops in England, to cut plastic use.","Thu, 27 Dec 2018 08:42:10 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.7057877779006958)","('neutral', 0.7816177010536194)",neutral,0.7057877779006958,neutral,0.7816177010536194,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Potholes: Why do we have so many of them?,https://www.bbc.co.uk/news/uk-46012348,The chancellor says councils in England will get an extra £420m in his Budget to fix potholes.,"Mon, 29 Oct 2018 02:09:01 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.7361577153205872)","('neutral', 0.8697001338005066)",negative,0.7361577153205872,neutral,0.8697001338005066,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Legal challenge on badger culling,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-17183020,"The Badger Trust launches a new legal challenge to the government's plans to cull badgers in England, as debate rages about any cull's effects on TB.","Mon, 27 Feb 2012 16:13:48 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.7850233316421509)","('neutral', 0.8100872039794922)",neutral,0.7850233316421509,neutral,0.8100872039794922,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Work to start on 93 flood defences,http://www.bbc.co.uk/news/uk-21364056#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"The construction of 93 new flood defences in England this year is approved by the government, which says they will help protect more than 64,000 homes.","Thu, 07 Feb 2013 16:55:12 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8630527853965759)","('positive', 0.7706392407417297)",neutral,0.8630527853965759,positive,0.7706392407417297,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Water 'could warm a million homes',http://www.bbc.co.uk/news/uk-32054802#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"A million properties across England could in future be heated by water from rivers, canals and the sea, the government says.","Wed, 25 Mar 2015 16:35:17 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('positive', 0.5488765835762024)","('neutral', 0.9124151468276978)",positive,0.5488765835762024,neutral,0.9124151468276978,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Climate change: Future floods will delay emergency response,https://www.bbc.co.uk/news/science-environment-52710224,Increases in rainfall in England could impact ambulance and fire crew response times.,"Mon, 18 May 2020 15:00:31 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.6567018628120422)","('neutral', 0.7166114449501038)",negative,0.6567018628120422,neutral,0.7166114449501038,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
"'Every day it doesn't rain, the pressure mounts'",https://www.bbc.co.uk/news/science-environment-62495034?at_medium=RSSat_campaign=KARANGA,The heatwave will make conditions on England's farms worse as experts warn of smaller harvests.,"Thu, 11 Aug 2022 01:42:20 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.5757648348808289)","('negative', 0.7582976818084717)",neutral,0.5757648348808289,negative,0.7582976818084717,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Wildlife under stress as dry spell shrinks rivers,https://www.bbc.co.uk/news/science-environment-62465805?at_medium=RSSat_campaign=KARANGA,Most of the world's chalk streams are in southern and eastern England and are under particular strain.,"Wed, 10 Aug 2022 02:19:53 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.6263527870178223)","('neutral', 0.5152475833892822)",negative,0.6263527870178223,neutral,0.5152475833892822,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Driest July in England since 1935 - Met Office,https://www.bbc.co.uk/news/science-environment-62382703?at_medium=RSSat_campaign=KARANGA,Parts of England saw the driest July on record with serious impacts on farmland and wildfire.,"Mon, 01 Aug 2022 15:39:18 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.6273742914199829)","('negative', 0.7632060050964355)",neutral,0.6273742914199829,negative,0.7632060050964355,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Why are large parts of England now in drought?,https://www.bbc.co.uk/news/science-environment-62298430?at_medium=RSSat_campaign=KARANGA,"An official drought has been declared in parts of southern, central and eastern England, what happens now?","Fri, 12 Aug 2022 15:47:21 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.7006456851959229)","('neutral', 0.5289241671562195)",negative,0.7006456851959229,neutral,0.5289241671562195,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
New map of ancient trees an opportunity for conservation,https://www.bbc.co.uk/news/science-environment-61980467?at_medium=RSSat_campaign=KARANGA,A new tree-map suggests there could be around two million unrecorded ancient trees in England.,"Thu, 30 Jun 2022 00:45:41 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('positive', 0.7207058072090149)","('neutral', 0.8697360157966614)",positive,0.7207058072090149,neutral,0.8697360157966614,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Raptor plunging to extinction in England,http://www.bbc.co.uk/news/science-environment-40422732,There are just four breeding pairs of the iconic bird of prey left in England.,"Wed, 28 Jun 2017 00:26:43 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.667914628982544)","('neutral', 0.7179970741271973)",negative,0.667914628982544,neutral,0.7179970741271973,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Beaver return 'benefits environment',http://www.bbc.co.uk/news/science-environment-40048762,A researcher says re-introducing beavers in England would help water supplies and prevent floods.,"Fri, 02 Jun 2017 23:33:27 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.5630093812942505)","('neutral', 0.6043072938919067)",neutral,0.5630093812942505,neutral,0.6043072938919067,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Coronavirus: Is R number balanced on knife edge?,https://www.bbc.co.uk/news/health-52944037,There are concerns coronavirus might be starting to spread in parts of England again.,"Sat, 06 Jun 2020 08:16:23 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8727377653121948)","('negative', 0.623234748840332)",neutral,0.8727377653121948,negative,0.623234748840332,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Small waters 'can help address biodiversity crisis',https://www.bbc.co.uk/news/science-environment-55150482,"Experts call for urgent action to protect England's smallest freshwater sites, from ponds to streams.","Wed, 02 Dec 2020 00:44:42 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.5754340291023254)","('neutral', 0.7818402647972107)",neutral,0.5754340291023254,neutral,0.7818402647972107,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Why 2020 has been good for England's beavers,https://www.bbc.co.uk/news/uk-england-cumbria-54972840,"Homes for these ""ultimate environmental engineers"" have been set up in enclosures across England.","Mon, 30 Nov 2020 00:34:38 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('positive', 0.915835976600647)","('neutral', 0.8405494093894958)",positive,0.915835976600647,neutral,0.8405494093894958,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Oxford-Cambridge Arc: Row over central England mega-plan,https://www.bbc.co.uk/news/science-environment-45991203,The transport secretary says the government will back major development on the Oxford-Cambridge arc.,"Sat, 27 Oct 2018 10:28:22 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.9265138506889343)","('neutral', 0.8013854622840881)",neutral,0.9265138506889344,neutral,0.8013854622840881,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Environment Agency warns of serious water deficits for England,http://www.bbc.co.uk/news/science-environment-44215418,"Enough water to meet the needs of 20 million people is lost through leakage every day, the report says.","Wed, 23 May 2018 06:32:11 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.6919881701469421)","('negative', 0.7631527781486511)",negative,0.6919881701469421,negative,0.7631527781486511,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Hedgehogs: Thousands sign petition over rat trap threat,http://www.bbc.co.uk/news/uk-politics-44172783,"Hedgehog lovers are worried that a rat trap, licensed by the government in England, could harm their spiky friends.","Fri, 18 May 2018 13:00:49 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.538889467716217)","('negative', 0.6921271085739136)",negative,0.538889467716217,negative,0.6921271085739136,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Meat-eating plants making a comeback in England,https://www.bbc.co.uk/news/science-environment-49552803,Endangered carnivorous plants are being reintroduced in an attempt to reverse their decline.,"Wed, 04 Sep 2019 01:21:26 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.5184013843536377)","('neutral', 0.8850856423377991)",negative,0.5184013843536377,neutral,0.8850856423377991,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Plastic bags: Charge could rise to 10p and be extended to smaller shops,https://www.bbc.co.uk/news/uk-45353073,All shops in England would have to implement the charge under proposals announced by the PM.,"Thu, 30 Aug 2018 16:39:10 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8109058141708374)","('neutral', 0.9347214102745056)",neutral,0.8109058141708374,neutral,0.9347214102745056,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Rescue for palm oil-covered birds,http://www.bbc.co.uk/news/uk-england-dorset-21275648#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Hundreds of seabirds are washed up along the coast of south west England, covered in palm oil.","Thu, 31 Jan 2013 19:54:13 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.7828963398933411)","('negative', 0.6845934987068176)",neutral,0.7828963398933411,negative,0.6845934987068176,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Heatwave: 2018 was the joint hottest summer for UK,https://www.bbc.co.uk/news/uk-45399134,"It was also the hottest summer for England since records began in 1910, the Met Office says.","Mon, 03 Sep 2018 16:37:31 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.6906772255897522)","('positive', 0.5141655802726746)",neutral,0.6906772255897522,positive,0.5141655802726746,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Badger killing starts amid protests,http://www.bbc.co.uk/news/uk-england-23845851#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"A badger cull in parts of the west of England is under way, the National Farmers' Union president confirms.","Tue, 27 Aug 2013 15:16:29 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.8319392204284668)","('neutral', 0.9355691075325012)",negative,0.8319392204284668,neutral,0.9355691075325012,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Plastic bag use plummets in England since 5p charge,http://www.bbc.co.uk/news/science-environment-36917174,"Shoppers in England are on target to use six billion fewer plastic bags in the first year since a 5p charge for them was introduced, government data suggests.","Sat, 30 Jul 2016 11:41:43 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.516357958316803)","('neutral', 0.5237572193145752)",negative,0.516357958316803,neutral,0.5237572193145752,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Government 'to back badger cull',http://www.bbc.co.uk/go/rss/int/news/-/news/uk-14195808,The government is expected to give final backing to badger culling in England.,"Tue, 19 Jul 2011 07:14:18 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.6557073593139648)","('neutral', 0.9135714173316956)",neutral,0.6557073593139648,neutral,0.9135714173316956,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
England badger cull court appeal,http://www.bbc.co.uk/news/science-environment-19550627#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Badgers could be shot across England within weeks, barring a last minute legal challenge.","Tue, 11 Sep 2012 10:07:35 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.7985621690750122)","('neutral', 0.4948825240135193)",neutral,0.7985621690750122,neutral,0.4948825240135193,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Space launch for chicken outfit,http://www.bbc.co.uk/news/uk-england-coventry-warwickshire-18102288#sa-ns_mchannel=rssns_source=PublicRSS20-sa,A rubber chicken wearing an outfit knitted from plastic bags by a woman from Rugby is to be launched into space by Nasa on Sunday.,"Thu, 17 May 2012 12:40:17 GMT",Rugby,North Dakota,Pierce,48.3654,-99.9903,"('neutral', 0.805983304977417)","('neutral', 0.9287077188491821)",neutral,0.805983304977417,neutral,0.928707718849182,Rugby,ND,North Dakota,38069,2546,436.4,False,True,America/Chicago,58368
VIDEO: Training for outer space in a cave,http://www.bbc.co.uk/news/world-europe-19583007#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Six astronauts are about to return from an usual mission after spending a week in a vast cave network on the island of Sardinia.,"Thu, 13 Sep 2012 06:44:42 GMT",Sardinia,Ohio,Brown,39.0071,-83.802,"('neutral', 0.9061577916145325)","('neutral', 0.9150961637496948)",neutral,0.9061577916145324,neutral,0.9150961637496948,Sardinia,OH,Ohio,39015,1307,293.4,False,True,America/New_York,45171
Navy investigates 'lost submarine find',http://www.bbc.co.uk/news/uk-36386581#sa-ns_mchannel=rssns_source=PublicRSS20-sa,The Royal Navy is investigating claims the wreckage of a British submarine lost during World War Two has been discovered off the coast of Sardinia.,"Thu, 26 May 2016 09:23:53 GMT",Sardinia,Ohio,Brown,39.0071,-83.802,"('neutral', 0.8805084228515625)","('neutral', 0.6126847267150879)",neutral,0.8805084228515625,neutral,0.6126847267150879,Sardinia,OH,Ohio,39015,1307,293.4,False,True,America/New_York,45171
VIDEO: Bleak future for Tripoli zoo animals?,http://www.bbc.co.uk/go/rss/int/news/-/news/world-africa-16371108,Staff say money to feed the hundreds of animals there is running out.,"Sat, 31 Dec 2011 05:39:54 GMT",Tripoli,Iowa,Bremer,42.8083,-92.2578,"('negative', 0.7727240920066833)","('negative', 0.6630409955978394)",negative,0.7727240920066833,negative,0.6630409955978394,Tripoli,IA,Iowa,19017,1304,370.9,False,True,America/Chicago,50676
VIDEO: Inside Russia's new space port,http://www.bbc.co.uk/news/world-europe-35414584#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Work is nearing completion on building Russia's new Vostochny space port, designed to replace the Baikonur launch facility in Kazakhstan.","Thu, 28 Jan 2016 04:08:36 GMT",Russia,Ohio,Shelby,40.2341,-84.4076,"('neutral', 0.8861347436904907)","('neutral', 0.7972996234893799)",neutral,0.8861347436904907,neutral,0.7972996234893799,Russia,OH,Ohio,39149,861,336.8,False,True,America/New_York,45363
VIDEO: Meteor fragment 'smashes icy lake',http://www.bbc.co.uk/news/world-europe-21480497#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Scientists are keen to analyse the remnants of a meteor which crashed in Russia's Ural mountains.,"Fri, 15 Feb 2013 18:12:18 GMT",Russia,Ohio,Shelby,40.2341,-84.4076,"('neutral', 0.8128225803375244)","('neutral', 0.8969088196754456)",neutral,0.8128225803375244,neutral,0.8969088196754456,Russia,OH,Ohio,39149,861,336.8,False,True,America/New_York,45363
VIDEO: Up close with the rare Siberian tiger,http://www.bbc.co.uk/news/world-22799908#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Operation Snow Tiger follows wild animal biologist Liz Bonnin and an international team of scientists on an expedition to Russia, documenting one of the world's rarest and most mysterious animals - the Siberian tiger.","Sun, 09 Jun 2013 00:48:44 GMT",Russia,Ohio,Shelby,40.2341,-84.4076,"('neutral', 0.8619232773780823)","('neutral', 0.6670674085617065)",neutral,0.8619232773780823,neutral,0.6670674085617065,Russia,OH,Ohio,39149,861,336.8,False,True,America/New_York,45363
Russia grounds rockets after loss,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-14669014,Russia has grounded its fleet of Soyuz rockets after an unmanned spacecraft carrying tonnes of cargo for the space station crashed after lift-off.,"Thu, 25 Aug 2011 15:17:01 GMT",Russia,Ohio,Shelby,40.2341,-84.4076,"('negative', 0.6261908411979675)","('negative', 0.5296362042427063)",negative,0.6261908411979675,negative,0.5296362042427063,Russia,OH,Ohio,39149,861,336.8,False,True,America/New_York,45363
Russia finds space rocket defect,http://www.bbc.co.uk/go/rss/int/news/-/news/world-europe-14852534,The Russian space agency says the Soyuz rocket that failed while carrying cargo to the International Space Station had a production line defect.,"Fri, 09 Sep 2011 10:32:43 GMT",Russia,Ohio,Shelby,40.2341,-84.4076,"('negative', 0.5806064009666443)","('negative', 0.7126718759536743)",negative,0.5806064009666443,negative,0.7126718759536743,Russia,OH,Ohio,39149,861,336.8,False,True,America/New_York,45363
Delayed Russian rocket lifts off,http://www.bbc.co.uk/news/science-environment-36156873#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Russia launches the first rocket from its new Vostochny cosmodrome, following a 24-hour delay that drew the ire of President Vladimir Putin.","Thu, 28 Apr 2016 05:55:46 GMT",Russia,Ohio,Shelby,40.2341,-84.4076,"('neutral', 0.6346705555915833)","('neutral', 0.8879939317703247)",neutral,0.6346705555915833,neutral,0.8879939317703247,Russia,OH,Ohio,39149,861,336.8,False,True,America/New_York,45363
Clean-up for meteorite-hit Urals,http://www.bbc.co.uk/news/world-europe-21482252#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"A big clean-up operation is going on in Russia's Ural region after Friday's spectacular meteor strike, which injured more than 1,000 people.","Sat, 16 Feb 2013 12:13:55 GMT",Russia,Ohio,Shelby,40.2341,-84.4076,"('neutral', 0.7719864845275879)","('negative', 0.5780276656150818)",neutral,0.7719864845275879,negative,0.5780276656150818,Russia,OH,Ohio,39149,861,336.8,False,True,America/New_York,45363
Russia ban on grain export begins,http://www.bbc.co.uk/go/rss/int/news/-/news/business-10977955,"A ban on grain exports imposed by Russia after wildfires devastated crops comes into force, a move likely to push up bread prices.","Sun, 15 Aug 2010 07:01:59 GMT",Russia,Ohio,Shelby,40.2341,-84.4076,"('negative', 0.7139840722084045)","('negative', 0.7242218255996704)",negative,0.7139840722084045,negative,0.7242218255996704,Russia,OH,Ohio,39149,861,336.8,False,True,America/New_York,45363
Russia satellites orbit failure,http://www.bbc.co.uk/go/rss/int/news/-/news/world-europe-11922496,"Three Russian satellites fail to enter orbit after launch, possibly crashing into the Pacific, Russian news agencies report.","Sun, 05 Dec 2010 15:16:30 GMT",Russia,Ohio,Shelby,40.2341,-84.4076,"('negative', 0.6707537770271301)","('negative', 0.5849027633666992)",negative,0.6707537770271301,negative,0.5849027633666992,Russia,OH,Ohio,39149,861,336.8,False,True,America/New_York,45363
Frozen plants spring back to life,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-17100574,"Scientists in Russia raise plants from fruit stored away by squirrels 30,000 years ago, smashing the previous age record.","Mon, 20 Feb 2012 20:35:15 GMT",Russia,Ohio,Shelby,40.2341,-84.4076,"('positive', 0.654106080532074)","('positive', 0.6173030734062195)",positive,0.654106080532074,positive,0.6173030734062195,Russia,OH,Ohio,39149,861,336.8,False,True,America/New_York,45363
Trouble at mill,http://www.bbc.co.uk/news/science-environment-10739378,Russia's Lake Baikal risks losing World Heritage status amid paper mill pollution concerns,"Fri, 23 Jul 2010 12:54:27 +0000",Russia,Ohio,Shelby,40.2341,-84.4076,"('neutral', 0.5550284385681152)","('negative', 0.6169034838676453)",neutral,0.5550284385681152,negative,0.6169034838676453,Russia,OH,Ohio,39149,861,336.8,False,True,America/New_York,45363
Russia's latest spacecraft,http://www.bbc.co.uk/news/science-environment-10725093,Craft that will carry next generation of cosmonauts,"Thu, 22 Jul 2010 13:24:51 +0000",Russia,Ohio,Shelby,40.2341,-84.4076,"('neutral', 0.7528619170188904)","('positive', 0.7336785793304443)",neutral,0.7528619170188904,positive,0.7336785793304443,Russia,OH,Ohio,39149,861,336.8,False,True,America/New_York,45363
VIDEO: Trainee cosmonauts in crash test,http://www.bbc.co.uk/news/world-europe-21378397#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Candidates in the Russian space agency's cosmonaut training competition have been given their first real endurance test at Russia's specialist training centre.,"Fri, 08 Feb 2013 07:31:26 GMT",Russia,Ohio,Shelby,40.2341,-84.4076,"('neutral', 0.8999493718147278)","('neutral', 0.911018967628479)",neutral,0.8999493718147278,neutral,0.911018967628479,Russia,OH,Ohio,39149,861,336.8,False,True,America/New_York,45363
