title,link,description,published
Halloween on the Hudson,https://earthobservatory.nasa.gov/images/149022/halloween-on-the-hudson,Washington Irving’s classic tale about a headless horseman plays out an ancient landscape scarred by tectonic collisions and the relentless forces of erosion.,"Sun, 31 Oct 2021 00:00:00 -0400"
Landsat 9 to Further NASA’s Food Security Missions,https://earthobservatory.nasa.gov/blogs/fromthefield/?p=11680,"Landsat satellites have enabled numerous applications in diverse fields, including the monitoring of global agriculture and food security applications.","Thu, 23 Sep 2021 16:30:10 -0400"
Rapid Intensification for Typhoon Chanthu,https://earthobservatory.nasa.gov/images/148814/rapid-intensification-for-typhoon-chanthu,The potent storm in the Western Pacific intensified from a tropical depression to a super typhoon in less than 48 hours.,"Thu, 09 Sep 2021 14:51:17 -0400"
Mapping Methane Emissions in California,https://earthobservatory.nasa.gov/images/148806/mapping-methane-emissions-in-california,"Using precision instruments and new mapping and machine-learning tools, a research team has been pinpointing sources of the greenhouse gas.","Thu, 09 Sep 2021 00:00:00 -0400"
Ice Persists in the Northwest Passage,https://earthobservatory.nasa.gov/images/148802/ice-persists-in-the-northwest-passage,"The decline of sea ice in the Arctic has made the passage increasingly viable for ships, but it’s still not always smooth sailing.","Wed, 08 Sep 2021 00:00:00 -0400"
Climate Change Pushes Fires to Higher Ground,https://earthobservatory.nasa.gov/images/148789/climate-change-pushes-fires-to-higher-ground,Wildfires in the western United States have been spreading to higher elevations due to warmer and drier conditions.,"Thu, 02 Sep 2021 16:42:57 -0400"
Smoke Smothers the Northeast,https://earthobservatory.nasa.gov/images/151433/smoke-smothers-the-northeast,Fires in Quebec have delivered one of the most intense outbreaks of smoke seen in the eastern U.S. in decades.,"Wed, 07 Jun 2023 17:15:44 -0400"
California Reservoir Rebound,https://earthobservatory.nasa.gov/images/151422/california-reservoir-rebound,Shasta Lake refilled in spring 2023 after a season of heavy rain and snowmelt.,"Wed, 07 Jun 2023 00:00:00 -0400"
Fires Burn Across Quebec,https://earthobservatory.nasa.gov/images/151430/fires-burn-across-quebec,"By June 2023, about 160,000 hectares had burned in the province since the start of the year.","Mon, 05 Jun 2023 17:18:01 -0400"
Ebb and Flow in the Chausey Islands,https://earthobservatory.nasa.gov/images/151414/ebb-and-flow-in-the-chausey-islands,Some of the planet’s most extreme tides are found in this French archipelago.,"Mon, 05 Jun 2023 00:00:00 -0400"
Hooked on Cape Cod,https://earthobservatory.nasa.gov/images/151427/hooked-on-cape-cod,"Dunes, ponds, and wildlife habitat are found alongside urban areas on this iconic peninsula in Massachusetts.","Sun, 04 Jun 2023 00:00:00 -0400"
Splintering Sea Ice in the Amundsen Gulf,https://earthobservatory.nasa.gov/images/151418/splintering-sea-ice-in-the-amundsen-gulf,Sea ice crumbled rapidly in the waters of northern Canada as conditions changed in May.,"Sat, 03 Jun 2023 00:00:00 -0400"
Shrinking Iceberg A-76A,https://earthobservatory.nasa.gov/images/151411/shrinking-iceberg-a-76a,The waters off the remote island of South Georgia splintered another Antarctic iceberg.,"Fri, 02 Jun 2023 00:00:00 -0400"
Raging Fires in Nova Scotia,https://earthobservatory.nasa.gov/images/151407/raging-fires-in-nova-scotia,Dry and windy conditions fueled the spread of unusually large fires in eastern Canada.,"Wed, 31 May 2023 17:18:13 -0400"
Mawar Churns in the Pacific,https://earthobservatory.nasa.gov/images/151404/mawar-churns-in-the-pacific,"After strengthening rapidly and grazing the Philippines and Taiwan, the storm headed north toward the Sakishima Islands.","Tue, 30 May 2023 17:25:52 -0400"
Coastal Phytoplankton on the Rise,https://earthobservatory.nasa.gov/images/151374/coastal-phytoplankton-on-the-rise,Blooms of the plant-like organisms near coastal areas have become more frequent in the 21st century.,"Tue, 30 May 2023 00:00:00 -0400"
A Sandy Haven in Japan,https://earthobservatory.nasa.gov/images/151392/a-sandy-haven-in-japan,The shallow waters of hook-shaped Notsuke Peninsula shelter sea grass and shrimp in eastern Hokkaido.,"Mon, 29 May 2023 00:00:00 -0400"
A Foggy Himalayan Morning,https://earthobservatory.nasa.gov/images/151396/a-foggy-himalayan-morning,Sunrise is an opportune time to photograph fog as it rolls through the mountain range.,"Sun, 28 May 2023 00:00:00 -0400"
A Boreal Forest Awakens,https://earthobservatory.nasa.gov/images/151399/a-boreal-forest-awakens,Fieldwork in interior Alaska aimed to identify when evergreen trees resumed growth and started taking up carbon.,"Sat, 27 May 2023 00:00:00 -0400"
A Smoky May for North America,https://earthobservatory.nasa.gov/images/151384/a-smoky-may-for-north-america,Fierce fires in Canada are the source of smoke that has swirled across much of the continent.,"Wed, 24 May 2023 17:09:34 -0400"
Typhoon Mawar,https://earthobservatory.nasa.gov/images/151388/typhoon-mawar,The category 4 storm was one of the strongest in decades to lash the U.S. territory of Guam.,"Wed, 24 May 2023 16:34:24 -0400"
A Tumultuous Spring Breakup,https://earthobservatory.nasa.gov/images/151379/a-tumultuous-spring-breakup,Rapid thawing in Alaska caused damaging river floods in May 2023.,"Tue, 23 May 2023 16:40:53 -0400"
Spain Browned by Drought,https://earthobservatory.nasa.gov/images/151366/spain-browned-by-drought,Unseasonable heat and meager rainfall parched the world’s largest olive oil producing region in spring 2023.,"Mon, 22 May 2023 16:26:29 -0400"
Fire Season in the Northern Hemisphere,https://earthobservatory.nasa.gov/images/event/151148/2023-fire-season-in-the-northern-hemisphere,Wildland fires in 2023 brought hazy skies and poor air quality to several countries north of the equator.,"Mon, 22 May 2023 00:00:00 -0400"
New Mexico’s White Sands,https://earthobservatory.nasa.gov/images/151371/new-mexicos-white-sands,"A national park and a dune field occupy part of this bright-white desert landscape, which also has ties to the aerospace industry.","Sun, 21 May 2023 00:00:00 -0400"
Algae in the Andes,https://earthobservatory.nasa.gov/images/151363/algae-in-the-andes,Toxic blooms are becoming more frequent in Chile’s Lake Villarrica.,"Fri, 19 May 2023 17:43:50 -0400"
Retreat at Petermann Glacier,https://earthobservatory.nasa.gov/images/151358/retreat-at-petermann-glacier,"Decades of retreat are visible from above, but harder-to-see changes below the waterline could also affect this iconic glacier’s future.","Fri, 19 May 2023 17:36:22 -0400"
A Changing Estuary Lined With Red,https://earthobservatory.nasa.gov/images/151353/a-changing-estuary-lined-with-red,"Satellite observations of seepweed are helping scientists track how these treasured, colorful plants are faring as coastal landscapes in northeastern China change.","Fri, 19 May 2023 00:00:00 -0400"
Turin Lights the Way Forward,https://earthobservatory.nasa.gov/images/147412/turin-lights-the-way-forward,"Through Italy’s Smart Road Decree, the city was chosen as a test site for autonomous driving vehicles.","Sun, 18 Oct 2020 00:00:00 -0400"
Mining for Iron at Mount Whaleback,https://earthobservatory.nasa.gov/images/147416/mining-for-iron-at-mount-whaleback,The site in Western Australia holds one of the country’s largest and oldest iron ore mines.,"Sat, 17 Oct 2020 00:00:00 -0400"
Fierce Fires in Bolivia,https://earthobservatory.nasa.gov/images/147408/fierce-fires-in-bolivia,"For the second year in a row, fires have been widespread and persistent in the South American country.","Thu, 15 Oct 2020 16:11:34 -0400"
Assessing California Fire Scars,https://earthobservatory.nasa.gov/images/147374/assessing-california-fire-scars,"Analyzing subtle differences in near-infrared and shortwave-infrared light from the landscape, scientists can provide some measure of the severity of wildfire burns.","Wed, 14 Oct 2020 14:09:53 -0400"
Romania’s Patchwork of Farm Fields,https://earthobservatory.nasa.gov/images/147400/romanias-patchwork-of-farm-fields,Farms in the historic Oltenia province display a compelling array of shapes and sizes.,"Wed, 14 Oct 2020 00:00:00 -0400"
A Lush Laptev Palette,https://earthobservatory.nasa.gov/images/147388/a-lush-laptev-palette,A colorful mixture of dissolved organic matter and sediments help trace the sea’s otherwise invisible currents and eddies.,"Tue, 13 Oct 2020 00:00:00 -0400"
Perspectives on a Dust Storm,https://earthobservatory.nasa.gov/images/147391/perspectives-on-a-dust-storm,An astronaut captured distant and overhead views of a long plume blowing from Iraq across the Middle East.,"Sun, 11 Oct 2020 00:00:00 -0400"
"Sharks, Seagrass, and Stromatolites",https://earthobservatory.nasa.gov/images/147395/sharks-seagrass-and-stromatolites,"Australia’s Shark Bay contains the largest beds of seagrasses in the world, as well as some of the oldest lifeforms on Earth.","Sat, 10 Oct 2020 00:00:00 -0400"
The Undulations of Wave Clouds,https://earthobservatory.nasa.gov/images/147380/the-undulations-of-wave-clouds,"When undular bores ripple through the atmosphere, they leave remarkable patterns in the clouds.","Fri, 09 Oct 2020 16:30:53 -0400"
Hurricane Delta Aims for the U.S. Gulf Coast,https://earthobservatory.nasa.gov/images/147383/hurricane-delta-aims-for-the-us-gulf-coast,"After making landfall on the Yucatan Peninsula, the category 2 storm was strengthening over warm waters.","Thu, 08 Oct 2020 17:15:12 -0400"
Airglow Over the Indian Ocean,https://earthobservatory.nasa.gov/images/147367/airglow-over-the-indian-ocean,The diffuse orange and green bands of light are caused by molecules in the atmosphere that have been energized by absorbing ultraviolet radiation from the Sun.,"Thu, 08 Oct 2020 00:00:00 -0400"
Delta Douses Yucatan,https://earthobservatory.nasa.gov/images/147378/delta-douses-yucatan,The category 2 storm made landfall in the Yucatan Peninsula and is expected to strengthen as it approaches the U.S. Gulf Coast.,"Wed, 07 Oct 2020 16:31:26 -0400"
Thunderstorms Rumble over the Great Plains,https://earthobservatory.nasa.gov/images/147370/thunderstorms-rumble-over-the-great-plains,A nocturnal low-level jet stream brings large thunderstorms across the U.S. Midwest each summer.,"Wed, 07 Oct 2020 00:00:00 -0400"
The Specter of a Mega-Tsunami in Alaska,https://earthobservatory.nasa.gov/images/147345/the-specter-of-a-mega-tsunami-in-alaska,Landsat images helped convince researchers that a slumping mountainside overlooking Barry Arm fjord could pose a tsunami hazard.,"Tue, 06 Oct 2020 00:00:00 -0400"
Sandy Plains in the Arctic,https://earthobservatory.nasa.gov/images/147359/sandy-plains-in-the-arctic,"Unlike the vegetated tundra of its neighboring islands, Bunge Land is a barren sandy plain that also serves as a land bridge.","Mon, 05 Oct 2020 00:00:00 -0400"
Coloring the Great Salt Lake,https://earthobservatory.nasa.gov/images/147355/coloring-the-great-salt-lake,"Colorful, mineral-rich salt flats are nestled between the Promontory Mountains and the Great Salt Lake.","Sun, 04 Oct 2020 00:00:00 -0400"
California’s Nightmare Fire Season Continues,https://earthobservatory.nasa.gov/images/147363/californias-nightmare-fire-season-continues,Another stretch of intense heat has reinvigorated the state’s brutal 2020 fire season.,"Fri, 02 Oct 2020 17:48:42 -0400"
Mud from the Andes Carried by the Amazon,https://earthobservatory.nasa.gov/images/147327/mud-from-the-andes-carried-by-the-amazon,Most of the sediment that flows into the Atlantic Ocean from the mouth of the river comes from thousands of miles upstream.,"Fri, 02 Oct 2020 00:00:00 -0400"
Spalte Splits,https://earthobservatory.nasa.gov/images/147350/spalte-splits,"In summer 2020, a huge piece of ice split off from the Arctic’s largest remaining ice shelf.","Thu, 01 Oct 2020 00:00:00 -0400"
Snow Cover,https://earthobservatory.nasa.gov/MOD10C1_M_SNOW,"Snow and ice influence climate by reflecting sunlight back into space. When it melts, snow is a source of water for drinking and vegetation; too much snowmelt can lead to floods. These maps show average snow cover by month.","Wed, 30 Sep 2020 00:00:00 -0400"
Cloud Fraction,https://earthobservatory.nasa.gov/MODAL2_M_CLD_FR,"In addition to making rain and snow, clouds can have a warming or cooling influence depending on their altitude, type, and when they form. These maps show what fraction of an area was cloudy each month.","Wed, 30 Sep 2020 00:00:00 -0400"
Aerosol Optical Depth,https://earthobservatory.nasa.gov/MODAL2_M_AER_OD,Airborne aerosols can cause or prevent cloud formation and harm human health. These maps depict aerosol concentrations in the air based on how the tiny particles reflect or absorb visible and infrared light.,"Wed, 30 Sep 2020 00:00:00 -0400"
Water Vapor,https://earthobservatory.nasa.gov/MYDAL2_M_SKY_WV,These maps show the average amount of water vapor in a column of atmosphere by month. Water vapor is the key precursor for rain and snow and one of the most important greenhouse gases in the atmosphere.,"Wed, 30 Sep 2020 00:00:00 -0400"
Superior Fall Colors,https://earthobservatory.nasa.gov/images/147342/superior-fall-colors,"In autumn, the leaves on deciduous trees change colors as they lose chlorophyll, the molecule that plants use to synthesize food.","Tue, 29 Sep 2020 15:33:09 -0400"
Mapping Shallow Seafloors,https://earthobservatory.nasa.gov/images/147338/mapping-shallow-seafloors,"By combining satellite measurements with ship-based sonar data, researchers are working to fill the gaps in coastal ocean maps.","Tue, 29 Sep 2020 00:00:00 -0400"
Bobcat Fire Scorches Southern California,https://earthobservatory.nasa.gov/images/147324/bobcat-fire-scorches-southern-california,The fire is among the largest Los Angeles County has ever faced.,"Wed, 23 Sep 2020 13:39:39 -0400"
EO January 2022 Puzzler,https://earthobservatory.nasa.gov/blogs/earthmatters/?p=11829,Can you solve this month's satellite mystery?,"Tue, 25 Jan 2022 17:39:31 -0500"
Great Lakes Cloud Streets,https://earthobservatory.nasa.gov/images/149339/great-lakes-cloud-streets,"Winter winds can create long, thin cloud bands that stretch hundreds of kilometers across the sky.","Mon, 17 Jan 2022 00:00:00 -0500"
Southern Hemisphere Scorchers,https://earthobservatory.nasa.gov/images/149331/southern-hemisphere-scorchers,"A summer heatwave knocked out power in Argentina, while heat in Western Australia likely tied the hottest temperature ever measured south of the equator.","Fri, 14 Jan 2022 16:16:15 -0500"
2021 Continued Earth’s Warming Trend,https://earthobservatory.nasa.gov/images/149321/2021-continued-earths-warming-trend,The past eight years have been the warmest in the global record.,"Fri, 14 Jan 2022 00:00:00 -0500"
Flash Floods Swamp Iran,https://earthobservatory.nasa.gov/images/149325/flash-floods-swamp-iran,"After months of severe drought, a burst of rain is causing problems.","Thu, 13 Jan 2022 12:24:07 -0500"
Red Tide off Rio,https://earthobservatory.nasa.gov/images/149316/red-tide-off-rio,"A dark, rainy spring gave way to a vast, long-lived phytoplankton bloom off the coast of Brazil.","Wed, 12 Jan 2022 14:34:24 -0500"
Everest-Area Plant Life Spreads,https://earthobservatory.nasa.gov/images/149312/everest-area-plant-life-spreads,Increasing vegetation in the Himalaya may have implications for water supplies.,"Wed, 12 Jan 2022 00:00:00 -0500"
A New Look at Earth’s Lightning,https://earthobservatory.nasa.gov/images/149301/a-new-look-at-earths-lightning,A sensor installed on the International Space Station is yielding fresh insights on the global distribution of lightning.,"Tue, 11 Jan 2022 00:00:00 -0500"
A View of Vesuvius,https://earthobservatory.nasa.gov/images/149298/a-view-of-vesuvius,Clouds parted for a glimpse of one of the most dangerous volcanoes on Earth.,"Mon, 10 Jan 2022 00:00:00 -0500"
Snowy Scene Surrounding the Salish Sea,https://earthobservatory.nasa.gov/images/149305/snowy-scene-surrounding-the-salish-sea,"After a rainy autumn, winter weather arrived in the Pacific Northwest.","Fri, 07 Jan 2022 15:17:40 -0500"
"Fire Led to Spike in Coastal Bacteria, Murky Waters",https://earthobservatory.nasa.gov/images/149527/fire-led-to-spike-in-coastal-bacteria-murky-waters,Scientists found water quality was degraded for months following a Southern California wildfire.,"Thu, 03 Mar 2022 16:27:08 -0500"
Elemental Earth,https://earthobservatory.nasa.gov/images/149533/elemental-earth,"View fire, air, water, and earth as scientists and astronauts see them from space. Then learn where to vote for your favorite.","Thu, 03 Mar 2022 00:00:00 -0500"
Floods Swamp Eastern Australia,https://earthobservatory.nasa.gov/images/149535/floods-swamp-eastern-australia,Several days of torrential rains have inundated coastal towns in Queensland and New South Wales,"Wed, 02 Mar 2022 12:58:31 -0500"
Bathed in a Sea of Artificial Light,https://earthobservatory.nasa.gov/images/149518/bathed-in-a-sea-of-artificial-light,"A new global atlas extends measurements of nighttime lights to the sea, revealing marine ecosystems affected by light pollution.","Wed, 02 Mar 2022 00:00:00 -0500"
Tournament Earth: Elemental Edition,https://earthobservatory.nasa.gov/tournament-earth,"Choose your favorites images from our fire, air, water, and earth brackets.","Tue, 01 Mar 2022 00:00:00 -0500"
Antarctic Berg Grounded for Decades,https://earthobservatory.nasa.gov/images/149522/antarctic-berg-grounded-for-decades,"In the span of 20 years, Iceberg B-22A has strayed just 100 kilometers from its birthplace at Thwaites Glacier.","Tue, 01 Mar 2022 00:00:00 -0500"
A Salt Bath in Bolivia,https://earthobservatory.nasa.gov/images/149502/a-salt-bath-in-bolivia,Abundant rains filled the Salar de Uyuni salt flats with water in early 2022.,"Mon, 28 Feb 2022 00:00:00 -0500"
Young Impact Crater Uncovered in Yilan,https://earthobservatory.nasa.gov/images/149515/young-impact-crater-uncovered-in-yilan,"The 50,000-year-old crater is relatively young, and only the second discovered in China.","Sun, 27 Feb 2022 00:00:00 -0500"
The Spine of South Island,https://earthobservatory.nasa.gov/images/149512/the-spine-of-south-island,New Zealand’s Southern Alps rise high above the landscape and influence the weather around them.,"Sat, 26 Feb 2022 00:00:00 -0500"
Winter in the Appalachians,https://earthobservatory.nasa.gov/images/149508/winter-in-the-appalachians,"A blast of winter weather dropped enough snow to accent the mountainous region of Virginia, West Virginia, and Maryland.","Fri, 25 Feb 2022 00:00:00 -0500"
A Sea of Icy Variability,https://earthobservatory.nasa.gov/images/149498/a-sea-of-icy-variability,"Despite an overall trend of Arctic ice loss, the Bering Sea saw an expansion of sea ice due to a short-lived atmospheric-pressure pattern.","Thu, 24 Feb 2022 00:00:00 -0500"
Zuiderzee Works,https://earthobservatory.nasa.gov/images/148799/zuiderzee-works,"Where the Netherlands meets the North Sea, there is an impressive confluence of natural and man-made features.","Mon, 06 Sep 2021 00:00:00 -0400"
Western Coastline of Greece,https://earthobservatory.nasa.gov/images/149014/western-coastline-of-greece,Rugged mountains and islands stand out in this tectonically active region.,"Sat, 30 Oct 2021 00:00:00 -0400"
Substantial Antarctic Ozone Hole in 2021,https://earthobservatory.nasa.gov/images/149010/substantial-antarctic-ozone-hole-in-2021,A colder than usual winter atmosphere over the Southern Hemisphere led to a deep and larger-than-average ozone hole in 2021.,"Fri, 29 Oct 2021 00:00:00 -0400"
Scientific Questions Arrive in Ports,https://earthobservatory.nasa.gov/images/149004/scientific-questions-arrive-in-ports,Satellite observations of nitrogen dioxide near key U.S. ports suggest that increased shipping activity and backlogs may be affecting air quality.,"Thu, 28 Oct 2021 00:00:00 -0400"
October Puzzler,https://earthobservatory.nasa.gov/blogs/earthmatters/?p=11734,"Your challenge is to use the comments section to tell us what we are looking at, where it is, and why it is interesting.","Tue, 26 Oct 2021 17:50:45 -0400"
Falling for the Colors,https://earthobservatory.nasa.gov/collection/1692/fall-colors,"As green chlorophyll fades from trees and plants each autumn, other pigments color the Earth’s landscapes. Satellites take  leaf-peeping to a whole new level.","Tue, 26 Oct 2021 00:00:00 -0400"
Extratropical Cyclones Drench West Coast,https://earthobservatory.nasa.gov/images/148999/extratropical-cyclones-drench-west-coast,One of the most intense extratropical cyclones ever to strike the Pacific Northwest drew an equally historic amount of moisture onshore.,"Mon, 25 Oct 2021 17:59:38 -0400"
Dust Storms in Greenland,https://earthobservatory.nasa.gov/images/148995/dust-storms-in-greenland,Large plumes of dust from the planet’s largest island are most common during the transition from summer to winter.,"Mon, 25 Oct 2021 17:32:29 -0400"
Sediment Swirls Off the Yucatán,https://earthobservatory.nasa.gov/images/149114/sediment-swirls-off-the-yucatan,Suspended limestone offshore hints at a 66-million-year-old story.,"Mon, 22 Nov 2021 00:00:00 -0500"
Unraveling the Mysteries of Arctic Greening and Browning,https://earthobservatory.nasa.gov/blogs/fromthefield/?p=11728,"Following caribou and brown bear trails when possible, a small NASA-supported research team trekked 800 miles across Alaska’s Brooks Range in summer 2021.","Tue, 05 Oct 2021 11:50:42 -0400"
Troubled Waters,https://earthobservatory.nasa.gov/images/148894/troubled-waters,Venezuela’s Lake Maracaibo is choking with oil slicks and algae.,"Mon, 04 Oct 2021 00:00:00 -0400"
Lakes Pueyrredón and Posadas,https://earthobservatory.nasa.gov/images/148901/lakes-pueyrredon-and-posadas,"Glacial ice, rivers, and fierce winds have sculpted two spectacular lakes and several deltas in this part of Patagonia.","Sun, 03 Oct 2021 00:00:00 -0400"
Hurricane Sam,https://earthobservatory.nasa.gov/images/148904/hurricane-sam,"The category-4 storm spun over the Atlantic Ocean, accompanied by Tropical Storm Victor and Saharan dust to the southeast.","Fri, 01 Oct 2021 16:01:57 -0400"
Extensive Plumes from Dixie Fire,https://earthobservatory.nasa.gov/images/148626/extensive-plumes-from-dixie-fire,The largest fire in California in 2021 has been burning for two weeks near the city of Chico and Lassen National Forest.,"Tue, 27 Jul 2021 16:14:23 -0400"
The Blooming Gulf of St. Lawrence,https://earthobservatory.nasa.gov/images/148572/the-blooming-gulf-of-st-lawrence,"When conditions are right, microscopic plant-like organisms called phytoplankton reproduce abundantly and create colorful patterns on the ocean surface that satellites can observe from space.","Wed, 14 Jul 2021 14:53:13 -0400"
A Longer-Lived Ice Arch,https://earthobservatory.nasa.gov/images/148560/a-longer-lived-ice-arch,"The natural sea ice structure west of Greenland stuck around longer than usual in 2021, despite a recent trend toward earlier breakups.","Wed, 14 Jul 2021 00:00:00 -0400"
Venezuela’s Flat-Topped Mountains,https://earthobservatory.nasa.gov/images/148520/venezuelas-flat-topped-mountains,"Decorated with steep cliffs and impressive waterfalls, Canaima National Park is biologically and geologically unique.","Tue, 13 Jul 2021 00:00:00 -0400"
Hazy Skies in the Midwest,https://earthobservatory.nasa.gov/images/148558/hazy-skies-in-the-midwest,"Smoke from Ontario, Canada, has blown south into the United States.","Mon, 12 Jul 2021 18:08:10 -0400"
Lake Tana and the Ethiopian Highlands,https://earthobservatory.nasa.gov/images/148549/lake-tana-and-the-ethiopian-highlands,The rugged volcanic terrain creates a temperate climate in a mostly dry place.,"Mon, 12 Jul 2021 00:00:00 -0400"
Autotrophs Abound in Arctic Waters,https://earthobservatory.nasa.gov/images/148552/autotrophs-abound-in-arctic-waters,Pulses of fresh glacial meltwater and nutrients provoke summertime phytoplankton blooms.,"Sun, 11 Jul 2021 00:00:00 -0400"
Smoky Summer in the Pacific Northwest,https://earthobservatory.nasa.gov/images/148555/smoky-summer-in-the-pacific-northwest,"The extraordinary heatwave that scorched the Pacific Northwest in June 2021 has diminished, but substantial fires continued to burn across the region in July.","Fri, 09 Jul 2021 16:36:24 -0400"
Space Lasers Map Meltwater Lakes,https://earthobservatory.nasa.gov/images/148542/space-lasers-map-meltwater-lakes,"Satellites can “see” Antarctica’s surface deform as basins fill and empty on, within, and under the ice.","Fri, 09 Jul 2021 00:00:00 -0400"
Tropical Storm Elsa,https://earthobservatory.nasa.gov/images/148545/tropical-storm-elsa,The first hurricane of the Atlantic season made a series of landfalls and dropped abundant rain from the Caribbean to the U.S. East Coast.,"Thu, 08 Jul 2021 14:15:31 -0400"
Anticipating Future Sea Levels,https://earthobservatory.nasa.gov/images/148494/anticipating-future-sea-levels,"While scientists have grown more confident about projections of sea level rise for the next few decades, many competing factors make it hard to see far into the coastal future.","Thu, 08 Jul 2021 00:00:00 -0400"
The Paraná Megafan,https://earthobservatory.nasa.gov/images/148755/the-parana-megafan,"Though 36 years old, this photo remains one of the best for demonstrating vast inland delta landscapes.","Sun, 29 Aug 2021 00:00:00 -0400"
Movie Mars on Earth,https://earthobservatory.nasa.gov/images/148764/movie-mars-on-earth,Several filmmakers have used the desert landscapes of Wadi Rum as a stand-in for the Red Planet.,"Sat, 28 Aug 2021 00:00:00 -0400"
Lake Mead Drops to a Record Low,https://earthobservatory.nasa.gov/images/148758/lake-mead-drops-to-a-record-low,The reservoir stands at its lowest level since the 1930s.,"Fri, 27 Aug 2021 15:35:46 -0400"
Devastating Rain in Tennessee,https://earthobservatory.nasa.gov/images/148748/devastating-rain-in-tennessee,"Flash floods occur when persistent heavy rain causes small creeks, channels, and streams to swell rapidly.","Thu, 26 Aug 2021 21:29:30 -0400"
Birthplace of a Hidden Figure,https://earthobservatory.nasa.gov/images/148738/birthplace-of-a-hidden-figure,Katherine Johnson rose above racial struggles to help America rise into space.,"Thu, 26 Aug 2021 00:00:00 -0400"
Fukutoku-Okanoba Explodes,https://earthobservatory.nasa.gov/images/148750/fukutoku-okanoba-explodes,The eruption of an underwater volcano near South Iwo Jima sent a plume soaring into flight paths and created an expansive raft of floating rock.,"Wed, 25 Aug 2021 14:50:57 -0400"
Henri Soaks the Northeast,https://earthobservatory.nasa.gov/images/148742/henri-soaks-the-northeast,Intense rain fell on Northeast U.S. soils that were already saturated.,"Tue, 24 Aug 2021 17:43:18 -0400"
August Puzzler,https://earthobservatory.nasa.gov/blogs/earthmatters/?p=11692,"The August 2021 puzzler is out. Your challenge is to use the comments section to tell us what we are looking at, where it is, and why it is interesting.","Tue, 24 Aug 2021 15:00:36 -0400"
Turning on the Lights in Tokyo,https://earthobservatory.nasa.gov/images/148728/turning-on-the-lights-in-tokyo,Strings of light emanate from the Imperial Palace in the city’s center and follow the expressway system outward.,"Mon, 23 Aug 2021 00:00:00 -0400"
Summer Color in Northern Seas,https://earthobservatory.nasa.gov/images/148705/summer-color-in-northern-seas,The summer season is a prime time to observe colorful displays of phytoplankton in the Labrador and Barents seas.,"Fri, 20 Aug 2021 12:50:46 -0400"
A Wolf Awakens at Night,https://earthobservatory.nasa.gov/images/149308/a-wolf-awakens-at-night,Incandescent lava erupts from a volcano in the Galápagos Islands.,"Fri, 07 Jan 2022 16:55:20 -0500"
Failed Rainy Seasons Create Food Emergency in Eastern Africa,https://earthobservatory.nasa.gov/images/149294/failed-rainy-seasons-create-food-emergency-in-eastern-africa,"More than 20 million people in Somalia, Kenya, and Ethiopia now face some of the worst food security risks in 35 years.","Fri, 07 Jan 2022 00:00:00 -0500"
A Winter Haze Over China,https://earthobservatory.nasa.gov/images/149291/a-winter-haze-over-china,"Even while skies are clearing over China, one type of particulate pollution continues to cause problems.","Thu, 06 Jan 2022 00:00:00 -0500"
Mid-Atlantic Snow Band,https://earthobservatory.nasa.gov/images/149288/mid-atlantic-snow-band,"The storm blanketed the region with snow, closed schools, and snarled traffic.","Tue, 04 Jan 2022 17:17:23 -0500"
A Different Shade of Ice,https://earthobservatory.nasa.gov/images/149283/a-different-shade-of-ice,Abundant sediment often paints the sea ice tan in Foxe Basin.,"Tue, 04 Jan 2022 00:00:00 -0500"
Colorado Faces Winter Urban Firestorm,https://earthobservatory.nasa.gov/images/149286/colorado-faces-winter-urban-firestorm,Hurricane-force winds whipped fires across drought-parched grasslands and into suburban neighborhoods.,"Mon, 03 Jan 2022 18:18:48 -0500"
Cornwall Clay Mines,https://earthobservatory.nasa.gov/images/149263/cornwall-clay-mines,The discovery of kaolinite clay deposits in southwest England in the mid-1700s launched the country's porcelain industry and left its mark on the Cornish landscape.,"Mon, 03 Jan 2022 00:00:00 -0500"
Study Confirms Southern Ocean is Absorbing Carbon,https://earthobservatory.nasa.gov/images/149274/study-confirms-southern-ocean-is-absorbing-carbon,"The waters circling Antarctica absorb more carbon from the atmosphere than they release, serving as a strong carbon sink and an important buffer for greenhouse gas emissions.","Sun, 02 Jan 2022 00:00:00 -0500"
Earth in 2021,https://earthobservatory.nasa.gov/images/149281/earth-in-2021,"From extreme weather to volcanic eruptions, these images highlight another year on our planet.","Sat, 01 Jan 2022 00:00:00 -0500"
Lunar Views and Beyond,https://earthobservatory.nasa.gov/images/149278/lunar-views-and-beyond,Astronauts traveling within Earth’s largest artificial satellite can capture unique shots of the planet’s only natural satellite.,"Fri, 31 Dec 2021 00:00:00 -0500"
A New Start for Iberá,https://earthobservatory.nasa.gov/images/149270/a-new-start-for-ibera,"Where cattle once roamed, a national park has taken root in Argentina.","Thu, 30 Dec 2021 00:00:00 -0500"
Pacific Tic-Tac-Toe,https://earthobservatory.nasa.gov/images/149260/pacific-tic-tac-toe,"The lines over the ocean may resemble a game, but in fact they are a relatively common atmospheric feature.","Wed, 29 Dec 2021 00:00:00 -0500"
Saguaro National Park,https://earthobservatory.nasa.gov/images/149266/saguaro-national-park,"This Arizona national park was founded to protect the saguaro cactus, a keystone species of the Sonoran Desert and an iconic symbol of the Southwest, where the climate is becoming warmer and drier.","Tue, 28 Dec 2021 00:00:00 -0500"
